code,family,description,width_mm,height_mm,price_meter_iva,price_varilla_iva
96179IMP,BARROTES,3MM,3.0,3.0,97.8469,269.0789
96179PN,BARROTES,3MM,3.0,3.0,91.1387,250.6315
96180IMP,BARROTES,4MM,4.0,4.0,99.751,274.3152
96180PN,BARROTES,4MM,4.0,4.0,91.6633,252.074
96181IMP,BARROTES,5MM,5.0,5.0,102.1992,281.0477
96181PN,BARROTES,5MM,5.0,5.0,92.3377,253.9287
96182IMP,BARROTES,6MM,6.0,6.0,105.1914,289.2763
96182PN,BARROTES,6MM,6.0,6.0,93.162,256.1956
96183IMP,BARROTES,7MM,7.0,7.0,108.7276,299.001
96183PN,BARROTES,7MM,7.0,7.0,94.1362,258.8746
96184IMP,BARROTES,8MM,8.0,8.0,112.8079,310.2218
96184PN,BARROTES,8MM,8.0,8.0,95.2603,261.9658
96185IMP,BARROTES,9MM,9.0,9.0,117.4323,322.9387
96185PN,BARROTES,9MM,9.0,9.0,96.5342,265.4692
96186IMP,BARROTES,10MM,10.0,10.0,122.6006,337.1517
96186PN,BARROTES,10MM,10.0,10.0,97.9581,269.3847
96187IMP,BARROTES,11MM,11.0,11.0,128.313,352.8609
96187PN,BARROTES,11MM,11.0,11.0,99.5318,273.7123
96188IMP,BARROTES,13MM,13.0,13.0,141.37,388.7674
96188PN,BARROTES,13MM,13.0,13.0,103.1288,283.6041
96189IMP,BARROTES,15MM,15.0,15.0,156.6031,430.6584
96189PN,BARROTES,15MM,15.0,15.0,107.3253,295.1446
96190IMP,BARROTES,18MM,18.0,18.0,183.533,504.7157
96190PN,BARROTES,18MM,18.0,18.0,114.7441,315.5464
96193IMP,BARROTES,24MM,24.0,24.0,252.0819,693.2252
96193PN,BARROTES,24MM,24.0,24.0,133.6285,367.4784
96194IMP,BARROTES,30MM,30.0,30.0,340.2162,935.5945
96194PN,BARROTES,30MM,30.0,30.0,157.9084,434.248
96195IMP,BARROTES,33MM,33.0,33.0,391.6279,1076.9766
96195PN,BARROTES,33MM,33.0,33.0,172.0716,473.197
96196IMP,BARROTES,38MM,38.0,38.0,488.1948,1342.5356
96196PN,BARROTES,38MM,38.0,38.0,198.6746,546.3551
96197IMP,BARROTES,45MM,45.0,45.0,646.2381,1777.1547
96197PN,BARROTES,45MM,45.0,45.0,242.2135,666.0871
96014IMP,CONTRAMARCOS,6x22,6.0,22.0,111.7453,307.2995
96014NAC,CONTRAMARCOS,6x22,6.0,22.0,83.1955,228.7876
96015IMP,CONTRAMARCOS,6x33,6.0,33.0,131.8653,362.6297
96015NAC,CONTRAMARCOS,6x33,6.0,33.0,89.0406,244.8618
96016IMP,CONTRAMARCOS,6x45,6.0,45.0,153.8145,422.9899
96016NAC,CONTRAMARCOS,6x45,6.0,45.0,95.4172,262.3972
96017IMP,CONTRAMARCOS,10x33,10.0,33.0,172.1055,473.29
96017NAC,CONTRAMARCOS,10x33,10.0,33.0,100.7309,277.0101
96018IMP,CONTRAMARCOS,10x45,10.0,45.0,208.6874,573.8903
96018NAC,CONTRAMARCOS,10x45,10.0,45.0,111.3585,306.2359
96019IMP,CONTRAMARCOS,10x65,10.0,65.0,269.6573,741.5575
96019NAC,CONTRAMARCOS,10x65,10.0,65.0,129.0711,354.9455
96029IMP,CONTRAVIDRIOS,N°1 10x10MM,10.0,10.0,101.9901,280.4728
96029NAC,CONTRAVIDRIOS,N°1 10x10MM,10.0,10.0,80.3615,220.994
96030IMP,CONTRAVIDRIOS,N°2 10x15MM,10.0,15.0,117.2326,322.3896
96030NAC,CONTRAVIDRIOS,N°2 10x15MM,10.0,15.0,84.7896,233.1714
96031IMP,CONTRAVIDRIOS,N°31 10x18MM,10.0,18.0,126.3781,347.5397
96031NAC,CONTRAVIDRIOS,N°31 10x18MM,10.0,18.0,87.4465,240.4779
96032IMP,CONTRAVIDRIOS,N°113 10x10,10.0,10.0,101.9901,280.4728
96032NAC,CONTRAVIDRIOS,N°113 10x10,10.0,10.0,80.3615,220.994
96033IMP,CONTRAVIDRIOS,N°137 10x10,10.0,10.0,101.9901,280.4728
96033NAC,CONTRAVIDRIOS,N°137 10x10,10.0,10.0,80.3615,220.994
96034IMP,CONTRAVIDRIOS,N°180 12x18,12.0,18.0,137.3526,377.7198
96034NAC,CONTRAVIDRIOS,N°180 12x18,12.0,18.0,90.6348,249.2456
96035IMP,CONTRAVIDRIOS,N°299 10x10MM,10.0,10.0,101.9901,280.4728
96035NAC,CONTRAVIDRIOS,N°299 10x10MM,10.0,10.0,80.3615,220.994
96036IMP,CONTRAVIDRIOS,N°410 12X18MM,12.0,18.0,137.3526,377.7198
96036NAC,CONTRAVIDRIOS,N°410 12X18MM,12.0,18.0,90.6348,249.2456
96037IMP,CONTRAVIDRIOS,N°411 12X22MM,12.0,22.0,151.9854,417.9599
96037NAC,CONTRAVIDRIOS,N°411 12X22MM,12.0,22.0,94.8858,260.9359
96038IMP,CONTRAVIDRIOS,N°412 12X25MM,12.0,25.0,162.96,448.14
96038NAC,CONTRAVIDRIOS,N°412 12X25MM,12.0,25.0,98.0741,269.7037
96048IMP,CONTRAVIDRIOS,CORREDERA N°2-7,24.0,24.0,247.0984,679.5206
96048NAC,CONTRAVIDRIOS,CORREDERA N°2-7,24.0,24.0,122.5174,336.923
96386IMP,CORNIZAS,N°59,22.0,35.0,306.2392,842.1578
96386NAC,CORNIZAS,N°59,22.0,35.0,139.6987,384.1713
96387IMP,CORNIZAS,N°146,22.0,60.0,473.9064,1303.2425
96387NAC,CORNIZAS,N°146,22.0,60.0,188.4083,518.1228
96388IMP,CORNIZAS,N°147,15.0,70.0,391.597,1076.8918
96388NAC,CORNIZAS,N°147,15.0,70.0,164.4963,452.3648
96389IMP,CORNIZAS,N°237,15.0,70.0,391.597,1076.8918
96389NAC,CORNIZAS,N°237,15.0,70.0,164.4963,452.3648
96399IMP,GUARDAPOLVOS,N°112,33.0,45.0,524.2065,1441.5679
96399NAC,GUARDAPOLVOS,N°112,33.0,45.0,203.0212,558.3082
96400IMP,GUARDAPOLVOS,N°150,45.0,60.0,894.5985,2460.1459
96400NAC,GUARDAPOLVOS,N°150,45.0,60.0,310.6252,854.2192
96115IMP,LISTONES,5X5MM,5.0,5.0,47.0883,129.4927
96115NAC,LISTONES,5X5MM,5.0,5.0,39.9572,109.8822
96116IMP,LISTONES,5X10MM,5.0,10.0,55.5302,152.7082
96116NAC,LISTONES,5X10MM,5.0,10.0,42.3415,116.4392
96117IMP,LISTONES,5X15MM,5.0,15.0,63.9722,175.9236
96117NAC,LISTONES,5X15MM,5.0,15.0,44.7259,122.9963
96118IMP,LISTONES,5X18MM,5.0,18.0,69.0374,189.8529
96118NAC,LISTONES,5X18MM,5.0,18.0,46.1566,126.9305
96119IMP,LISTONES,5X22MM,5.0,22.0,75.791,208.4252
96119NAC,LISTONES,5X22MM,5.0,22.0,48.0641,132.1762
96120IMP,LISTONES,5X24MM,5.0,24.0,79.1678,217.7114
96120NAC,LISTONES,5X24MM,5.0,24.0,49.0178,134.799
96121IMP,LISTONES,5X33MM,5.0,33.0,94.3634,259.4992
96121NAC,LISTONES,5X33MM,5.0,33.0,53.3097,146.6017
96122IMP,LISTONES,5X45MM,5.0,45.0,114.6241,315.2163
96122NAC,LISTONES,5X45MM,5.0,45.0,59.0323,162.3387
96123IMP,LISTONES,5X50MM,5.0,50.0,123.0661,338.4318
96123NAC,LISTONES,5X50MM,5.0,50.0,61.4166,168.8958
96124IMP,LISTONES,5X60MM,5.0,60.0,139.9501,384.8627
96124NAC,LISTONES,5X60MM,5.0,60.0,66.1854,182.0099
96125IMP,LISTONES,5X70MM,5.0,70.0,156.834,431.2936
96125NAC,LISTONES,5X70MM,5.0,70.0,70.9542,195.124
96126IMP,LISTONES,5X80MM,5.0,80.0,173.718,477.7245
96126NAC,LISTONES,5X80MM,5.0,80.0,75.723,208.2382
96127IMP,LISTONES,5X90MM,5.0,90.0,190.602,524.1554
96127NAC,LISTONES,5X90MM,5.0,90.0,80.4917,221.3523
96128IMP,LISTONES,5X100MM,5.0,100.0,207.4859,570.5863
96128NAC,LISTONES,5X100MM,5.0,100.0,85.2605,234.4664
96129IMP,LISTONES,10X10MM,10.0,10.0,72.4142,199.1391
96129NAC,LISTONES,10X10MM,10.0,10.0,47.1103,129.5534
96130IMP,LISTONES,10X15MM,10.0,15.0,89.2982,245.57
96130NAC,LISTONES,10X15MM,10.0,15.0,51.8791,142.6675
96131IMP,LISTONES,10X18MM,10.0,18.0,99.4285,273.4285
96131NAC,LISTONES,10X18MM,10.0,18.0,54.7404,150.536
96132IMP,LISTONES,10X22MM,10.0,22.0,112.9357,310.5732
96132NAC,LISTONES,10X22MM,10.0,22.0,58.5554,161.0273
96133IMP,LISTONES,10X24MM,10.0,24.0,119.6893,329.1456
96133NAC,LISTONES,10X24MM,10.0,24.0,60.4629,166.2729
96134IMP,LISTONES,10X33MM,10.0,33.0,150.0804,412.7212
96134NAC,LISTONES,10X33MM,10.0,33.0,69.0467,189.8784
96135IMP,LISTONES,10X45MM,10.0,45.0,190.602,524.1554
96135NAC,LISTONES,10X45MM,10.0,45.0,80.4917,221.3523
96136IMP,LISTONES,10X50MM,10.0,50.0,207.4859,570.5863
96136NAC,LISTONES,10X50MM,10.0,50.0,85.2605,234.4664
96137IMP,LISTONES,10X70MM,10.0,70.0,275.0218,756.3099
96137NAC,LISTONES,10X70MM,10.0,70.0,104.3356,286.9229
96137IMP,LISTONES,10X70MM,10.0,70.0,275.0218,756.3099
96137NAC,LISTONES,10X70MM,10.0,70.0,104.3356,286.9229
96179IMPF,BARROTES,3MM FRACC,3.0,3.0,97.8469,269.0789
96139IMP,LISTONES,10X80MM,10.0,80.0,308.7897,849.1717
96180PNF,BARROTES,3MM FRACCIONADO,3.0,3.0,91.1387,250.6315
96139NAC,LISTONES,10X80MM,10.0,80.0,113.8732,313.1512
96180IMPF,BARROTES,4MM FRACCIONADO,4.0,4.0,99.751,274.3152
96140IMP,LISTONES,10X95MM,10.0,95.0,359.4416,988.4645
96180PNF,BARROTES,4MM FRACCIONADO,4.0,4.0,91.1387,250.6315
96140NAC,LISTONES,10X95MM,10.0,95.0,128.1795,352.4936
96181PNF,BARROTES,5MM FRACCIONADO,5.0,5.0,92.3377,253.9287
96141IMP,LISTONES,10X100MM,10.0,100.0,376.3256,1034.8954
96181PNF,BARROTES,5MM FRACCIONADO,5.0,5.0,92.3377,253.9287
96141NAC,LISTONES,10X100MM,10.0,100.0,132.9483,365.6077
96182IMPF,BARROTES,6MM FRACCIONADO,6.0,6.0,105.1914,289.2763
96142IMP,LISTONES,15X15MM,15.0,15.0,114.6241,315.2163
96182PNF,BARROTES,6MM FRACCIONADO,6.0,6.0,93.162,256.1956
96142NAC,LISTONES,15X15MM,15.0,15.0,59.0323,162.3387
96183IMPF,BARROTES,7MM FRACCIONADO,7.0,7.0,108.7276,299.001
96143IMP,LISTONES,15X22MM,15.0,22.0,150.0804,412.7212
96183PNF,BARROTES,7MM FRACCIONADO,7.0,7.0,94.1362,258.8746
96143NAC,LISTONES,15X22MM,15.0,22.0,69.0467,189.8784
96184IMPF,BARROTES,8MM FRACCIONADO,8.0,8.0,112.8079,310.2218
96144IMP,LISTONES,15X33MM,15.0,33.0,205.7975,565.9432
96184PNF,BARROTES,8MM FRACCIONADO,8.0,8.0,95.2603,261.9658
96144NAC,LISTONES,15X33MM,15.0,33.0,84.7836,233.155
96185IMPF,BARROTES,9MM FRACCIONADO,9.0,9.0,117.4323,322.9387
96145IMP,LISTONES,15X45MM,15.0,45.0,266.5798,733.0945
