id,species,features,thickness_in,length_m,width_in,price_uyu,supplier
Pino Clear Seca Horno 1',Pino,Clear Seca Horno,1.0,3.3,8.0,294.0,José MyD
Pino Clear Seca Horno 1',Pino,Clear Seca Horno,1.0,3.3,13.0,483.0,José MyD
Pino Finlandes thermowood 2',Pino,Finlandes thermowood,2.0,4.5,2.0,32237.1,M Victoria
Pino Clear 1',Pino,Clear,1.0,3.3,6.0,304.5,M Victoria
Pino Clear 1',Pino,Clear,1.0,3.3,8.0,346.5,M Victoria
Pino Clear 1.5',Pino,Clear,1.5,3.3,8.0,346.5,M Victoria
Pino Clear CCA 1',Pino,Clear CCA,1.0,3.3,13.0,378.0,José MyD
Pino Clear 1.5',Pino,Clear,1.5,3.3,6.0,304.5,José MyD
Pino Clear 2',Pino,Clear,2.0,3.3,6.0,409.5,José MyD
Pino Clear 3',Pino,Clear,3.0,3.3,3.0,409.5,José MyD
Euca Clear 1',Euca,Clear,1.0,3.3,6.0,561.0,José MyD
Pino Clear 1.5',Pino,Clear,1.5,3.3,8.0,472.5,M Victoria
Euca Clear 1.5',Euca,Clear,1.5,2.4,6.0,693.0,M Victoria
Euca Clear 4 2',Euca,Clear 4,2.0,4.6,4.0,1785.0,M Victoria
Euca Clear 3.4 2',Euca,Clear 3.4,2.0,3.4,6.0,1575.0,Morgavi
Euca Clear Urufor 2',Euca,Clear Urufor,2.0,4.6,13.33333333,5809.4262,Morgavi
Euca Clear Urufor 2',Euca,Clear Urufor,2.0,4.3,14.22222222,5041.7213,M Aeropuerto
Pino Con Nudo 1',Pino,Con Nudo,1.0,3.3,6.0,203.9352,Valetor
Euca Clear 2',Euca,Clear,2.0,4.6,6.0,1800.0,
Roble Americano 1',Roble,Americano,1.0,2.5,11.11111111,2583.0,Maguinor
Roble Americano 1.5',Roble,Americano,1.5,2.5,6.666666667,3727.5,Maguinor
Cedro Mara Clear 2',Cedro Mara,Clear,2.0,2.4,9.777777778,2152.5,Maguinor
Cedro Mara Clear 1',Cedro Mara,Clear,1.0,2.4,8.888888889,1890.0,Maguinor
,Curupay,,1.0,3.3,8.0,1039.5,Curupax
MDF  3mm,MDF,,,,,427.329,
MDF  5.5mm,MDF,,,,,836.136,
MDF  9mm,MDF,,,,,1035.027,
MDF  12mm,MDF,,,,,1296.54,
MDF  15mm,MDF,,,,,1542.618,
MDF  18mm,MDF,,,,,1810.305,
MDF  25mm,MDF,,,,,3298.68,
Cerradura,Cerradura,,,,,91.5738,
piston de gas,piston de gas,,,,,72.932,
Juego de Guias,Juego de Guias,,,,,251.0246,
Ruedas,Ruedas,,,,,227.2131,
Tirador,Tirador,,,,,137.7049,
Bisagras,Bisagras,,,,,58.5246,
Barrote y soporte,Barrote y soporte,,,,,500.0,
Abeto Clear 23 1.5',Abeto,Clear 23,1.5,4.2,10.22222222,2160.9,Maguinor
Abeto Clear 23. 1.5',Abeto,Clear 23.,1.5,6.1,10.22222222,3087.0,Maguinor
Abeto Clear 1.5',Abeto,Clear,1.5,2.25,10.0,815.85,Paraná
